Hour,ATP,HMGB1,DC_Prob
0,0,0,0
2,401.173,291.281,0.985764
4,474.461,409.707,0.988816
6,487.85,457.855,0.989537
8,490.295,477.431,0.989772
10,490.742,485.389,0.989859
12,490.824,488.625,0.989893
14,490.839,489.941,0.989907
16,490.842,490.476,0.989912
18,490.842,490.693,0.989915
20,490.842,490.782,0.989916
22,490.842,490.818,0.989916
24,490.842,490.832,0.989916
26,490.842,490.838,0.989916
28,490.842,490.841,0.989916
30,490.842,490.842,0.989916
32,490.842,490.842,0.989916
34,490.842,490.842,0.989916
36,490.842,490.842,0.989916
38,490.842,490.842,0.989916
40,490.842,490.842,0.989916
42,490.842,490.842,0.989916
44,490.842,490.842,0.989916
46,490.842,490.842,0.989916
48,490.842,490.842,0.989916
